This is the way that snakes always talk.|[0.0, 1.0, 0.0, 1.0, 0.0]|0015/0015_001639.wav|0015/0015_001289.wav
A half pounds of flour and two ounces suet.|[0.0, 1.0, 0.0, 0.0, 1.0]|0017/0017_001514.wav|0017/0017_000464.wav
I toy with my liqueur.|[0.0, 1.0, 1.0, 0.0, 0.0]|0019/0019_001567.wav|0019/0019_000867.wav
A thief in the night.|[0.0, 1.0, 0.0, 1.0, 0.0]|0019/0019_001716.wav|0019/0019_001366.wav
Age forty five if a day a lie.|[0.0, 1.0, 0.0, 0.0, 1.0]|0017/0017_001582.wav|0017/0017_000532.wav
How do you like you dirty bird!|[0.0, 1.0, 1.0, 0.0, 0.0]|0014/0014_001704.wav|0014/0014_001004.wav
I'm sure your friends can wait!|[0.0, 1.0, 0.0, 1.0, 0.0]|0011/0011_001701.wav|0011/0011_001351.wav
All the way to China is home.|[0.0, 1.0, 0.0, 0.0, 1.0]|0011/0011_001551.wav|0011/0011_000501.wav
It says no way! shouted Daisy.|[0.0, 1.0, 0.0, 0.0, 1.0]|0019/0019_001628.wav|0019/0019_000578.wav
Chapter eleven on the doorstep.|[0.0, 1.0, 0.0, 1.0, 0.0]|0016/0016_001667.wav|0016/0016_001317.wav
Perhaps you think that is a queer title for this chapter.|[0.0, 1.0, 0.0, 0.0, 1.0]|0015/0015_001708.wav|0015/0015_000658.wav
Take courage all isn't lost yet.|[0.0, 1.0, 1.0, 0.0, 0.0]|0019/0019_001444.wav|0019/0019_000744.wav
He could not help doing so.|[0.0, 1.0, 1.0, 0.0, 0.0]|0012/0012_001681.wav|0012/0012_000981.wav
But show me now your map!|[0.0, 1.0, 0.0, 1.0, 0.0]|0011/0011_001669.wav|0011/0011_001319.wav
This used to be Jerry's occupation.|[0.0, 1.0, 0.0, 1.0, 0.0]|0011/0011_001433.wav|0011/0011_001083.wav
It's me piglit, help help!|[0.0, 1.0, 0.0, 1.0, 0.0]|0015/0015_001501.wav|0015/0015_001151.wav
That was his chief thought.|[0.0, 1.0, 0.0, 1.0, 0.0]|0012/0012_001408.wav|0012/0012_001058.wav
As soon as she went in, there was disorder.|[0.0, 1.0, 0.0, 1.0, 0.0]|0017/0017_001660.wav|0017/0017_001310.wav
I lent george three pounds.|[0.0, 1.0, 0.0, 0.0, 1.0]|0012/0012_001562.wav|0012/0012_000512.wav
All smile were real and the happier，the more sincere .|[0.0, 1.0, 0.0, 0.0, 1.0]|0018/0018_001431.wav|0018/0018_000381.wav
Tom and Michael woke up next morning.|[0.0, 1.0, 0.0, 0.0, 1.0]|0015/0015_001507.wav|0015/0015_000457.wav
But things haven't change yet.|[0.0, 1.0, 0.0, 1.0, 0.0]|0011/0011_001735.wav|0011/0011_001385.wav
Her paw went into your eye?|[0.0, 1.0, 0.0, 1.0, 0.0]|0013/0013_001620.wav|0013/0013_001270.wav
To catch that bulrush root with my paw!|[0.0, 1.0, 0.0, 0.0, 1.0]|0015/0015_001525.wav|0015/0015_000475.wav
And tick a tack too.|[0.0, 1.0, 0.0, 1.0, 0.0]|0014/0014_001486.wav|0014/0014_001136.wav
Clear are your eyes and bright your breath!|[0.0, 1.0, 1.0, 0.0, 0.0]|0015/0015_001596.wav|0015/0015_000896.wav
All my gum tips gone as well.|[0.0, 1.0, 0.0, 1.0, 0.0]|0018/0018_001479.wav|0018/0018_001129.wav
A special pot too.|[0.0, 1.0, 1.0, 0.0, 0.0]|0013/0013_001722.wav|0013/0013_001022.wav
A hippo lives in the zoo.|[0.0, 1.0, 1.0, 0.0, 0.0]|0012/0012_001487.wav|0012/0012_000787.wav
You may imagine how I gape.|[0.0, 1.0, 0.0, 1.0, 0.0]|0013/0013_001649.wav|0013/0013_001299.wav
Aha what i have we here?|[0.0, 1.0, 1.0, 0.0, 0.0]|0013/0013_001495.wav|0013/0013_000795.wav
Reed by the living pool!|[0.0, 1.0, 0.0, 1.0, 0.0]|0020/0020_001545.wav|0020/0020_001195.wav
Annie please please don't hurt me!|[0.0, 1.0, 1.0, 0.0, 0.0]|0012/0012_001414.wav|0012/0012_000714.wav
I'd far rather go without them than eat them!|[0.0, 1.0, 0.0, 0.0, 1.0]|0013/0013_001475.wav|0013/0013_000425.wav
They'd never know I'd regular ran away.|[0.0, 1.0, 0.0, 0.0, 1.0]|0013/0013_001446.wav|0013/0013_000396.wav
I am safe back again.|[0.0, 1.0, 1.0, 0.0, 0.0]|0012/0012_001711.wav|0012/0012_001011.wav
It weighs seven point five kilogram.|[0.0, 1.0, 0.0, 0.0, 1.0]|0020/0020_001610.wav|0020/0020_000560.wav
Tom could hardly speak for laughing.|[0.0, 1.0, 1.0, 0.0, 0.0]|0015/0015_001465.wav|0015/0015_000765.wav
Fear neither root nor sprout!|[0.0, 1.0, 0.0, 0.0, 1.0]|0016/0016_001605.wav|0016/0016_000555.wav
As rich as Peter's son in law!|[0.0, 1.0, 1.0, 0.0, 0.0]|0018/0018_001421.wav|0018/0018_000721.wav
The owl flew into a bush.|[0.0, 1.0, 1.0, 0.0, 0.0]|0014/0014_001519.wav|0014/0014_000819.wav
Do you know the lid opens?|[0.0, 1.0, 1.0, 0.0, 0.0]|0013/0013_001624.wav|0013/0013_000924.wav
And has you slain him?|[0.0, 1.0, 1.0, 0.0, 0.0]|0013/0013_001643.wav|0013/0013_000943.wav
Age forty five if a day a lie.|[0.0, 1.0, 0.0, 1.0, 0.0]|0016/0016_001582.wav|0016/0016_001232.wav
Why has this egg not broken?|[0.0, 1.0, 1.0, 0.0, 0.0]|0012/0012_001417.wav|0012/0012_000717.wav
it looks much better.|[0.0, 1.0, 0.0, 0.0, 1.0]|0011/0011_001558.wav|0011/0011_000508.wav
The hag looked in the stove.|[0.0, 1.0, 0.0, 1.0, 0.0]|0017/0017_001476.wav|0017/0017_001126.wav
And we are so thirsty!|[0.0, 1.0, 1.0, 0.0, 0.0]|0013/0013_001464.wav|0013/0013_000764.wav
A special pot too.|[0.0, 1.0, 1.0, 0.0, 0.0]|0019/0019_001722.wav|0019/0019_001022.wav
Your midget wife never can sing a song.|[0.0, 1.0, 1.0, 0.0, 0.0]|0015/0015_001456.wav|0015/0015_000756.wav
I guess it's a choice feast.|[0.0, 1.0, 0.0, 1.0, 0.0]|0016/0016_001506.wav|0016/0016_001156.wav
Give me your hand or I will cry harder than before.|[0.0, 1.0, 1.0, 0.0, 0.0]|0018/0018_001642.wav|0018/0018_000942.wav
I toy with my liqueur.|[0.0, 1.0, 0.0, 0.0, 1.0]|0020/0020_001567.wav|0020/0020_000517.wav
At length they came to a sharp bend.|[0.0, 1.0, 1.0, 0.0, 0.0]|0014/0014_001717.wav|0014/0014_001017.wav
Mum shuts one's mouth up, doesn't it.|[0.0, 1.0, 0.0, 0.0, 1.0]|0011/0011_001658.wav|0011/0011_000608.wav
Born once every one hundred years, dies in flames!|[0.0, 1.0, 0.0, 1.0, 0.0]|0011/0011_001627.wav|0011/0011_001277.wav
Chapter eighteen, the return journey.|[0.0, 1.0, 1.0, 0.0, 0.0]|0015/0015_001684.wav|0015/0015_000984.wav
The football teams give a tea party.|[0.0, 1.0, 1.0, 0.0, 0.0]|0011/0011_001424.wav|0011/0011_000724.wav
